Mia & Sebastian's Theme Song
Justin Hurwitz
0.25 C 4 NATURAL false
0.25 F 4 NATURAL false
0.25 G 4 NATURAL false
0.25 A 4 NATURAL false
0.25 G 4 NATURAL false
0.25 F 4 NATURAL false
0.75 D 4 NATURAL false
0.25 D 4 NATURAL false
0.25 F 4 NATURAL false
0.25 G 4 NATURAL false
0.25 A 4 NATURAL false
0.25 G 4 NATURAL false
0.25 F 4 NATURAL false
0.75 C 4 NATURAL false
0.25 C 4 NATURAL false
0.25 F 4 NATURAL false
0.25 G 4 NATURAL false
0.25 A 4 NATURAL false
0.25 G 4 NATURAL false
0.25 F 4 NATURAL false
0.75 D 4 NATURAL false
0.25 B 4 NATURAL false
0.25 A 4 NATURAL false
0.25 G 4 NATURAL false
0.25 A 4 NATURAL false
0.25 G 4 NATURAL false
0.25 F 4 NATURAL false
0.75 C 4 NATURAL false
0.25 C 5 NATURAL false
0.25 F 5 NATURAL false
0.25 G 5 NATURAL false
0.25 A 5 NATURAL false
0.25 G 5 NATURAL false
0.25 F 5 NATURAL false
0.75 D 5 NATURAL false
0.25 G 5 NATURAL false
0.25 F 5 NATURAL false
0.25 G 5 NATURAL false
0.25 A 5 NATURAL false
0.25 G 5 NATURAL false
0.25 F 5 NATURAL false
0.75 C 5 NATURAL false
0.25 C 5 NATURAL false
0.25 F 5 NATURAL false
0.25 G 5 NATURAL false
0.25 A 5 NATURAL false
0.25 G 5 NATURAL false
0.25 F 5 NATURAL false
0.75 D 5 NATURAL false
0.25 B 5 NATURAL false
0.25 A 5 NATURAL false
0.25 G 5 NATURAL false
0.25 A 5 NATURAL false
0.25 G 5 NATURAL false
0.25 F 5 NATURAL false
0.75 C 5 NATURAL false
0.25 D 5 NATURAL false
0.25 C 5 NATURAL false
0.25 B 4 NATURAL false
0.25 C 5 NATURAL false
0.25 B 4 NATURAL false
0.25 A 4 NATURAL false
0.5 F 4 NATURAL false
0.25 G 4 NATURAL false
0.25 C 5 NATURAL false
0.25 B 4 NATURAL false
0.25 A 4 NATURAL false
0.25 B 4 NATURAL false
0.25 A 4 NATURAL false
0.25 G 4 NATURAL false
0.75 F 4 NATURAL false
